date,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance
2020-06-16,173598215783.88248,25743924409.197376,266681761038.27216,0.6509564625192683,0.09653425231995075,0.25250928516078097
2020-06-17,175075304218.30185,26206196967.82947,270711637560.29852,0.646722489642897,0.09680484076711435,0.2564726695899886
2020-06-18,174231189757.1904,26079437153.80169,269428299669.18228,0.6466699673758113,0.09679546352711776,0.25653456909707095
2020-06-19,173034439845.62103,25847377552.22144,268384681976.56653,0.6447254685747273,0.0963072011482319,0.2589673302770408
2020-06-20,171101646024.0128,25534271650.26011,266586324308.63605,0.6418245439549352,0.0957823763708832,0.26239307967418163
2020-06-21,172323213442.3655,25501270877.342503,268055184765.9445,0.6428646906898351,0.09513440637087187,0.262000902939293
2020-06-22,171192409474.1401,25381090910.620564,266806102820.93268,0.6416360332995686,0.09512934915006468,0.2632346175503667
2020-06-23,178128652479.62244,27083046206.889904,277400516993.2079,0.6421352577507413,0.0976315635617688,0.26023317868748985
2020-06-24,177187041226.59833,27097142032.576195,276883672005.52313,0.6399331529490258,0.09786471638542729,0.262202130665547
2020-06-25,171028279701.5032,26239099771.42649,267455911422.27176,0.6394634494785043,0.09810626219436588,0.2624302883271298
2020-06-26,170495281892.45944,25963410301.57377,268238722348.8636,0.6356102519408744,0.09679217852747786,0.26759756953164776
2020-06-27,168807143703.19455,25643178437.809326,264282565079.06024,0.6387373440722275,0.09702939893192787,0.26423325699584466
2020-06-28,166004979429.79742,24650756780.212147,257374463647.8932,0.6449939791109354,0.09577778786141021,0.2592282330276544
2020-06-29,168334049772.4726,25059706534.523754,262295171053.72336,0.6417733467841632,0.095540098713411,0.2626865545024258
2020-06-30,169175896894.16483,25465535919.172665,264611287801.5943,0.6393374156472608,0.09623752686720885,0.26442505748553036
2020-07-01,168558715595.07886,25169333234.47631,263068087017.7332,0.6407417847825703,0.09567611761581582,0.2635820976016139
2020-07-02,170031996602.76715,25738012877.807854,266419977131.5792,0.6382103865987194,0.09660691797558557,0.265182695425695
